path,sha256,bytes,source_commit,author,license,modification,release_inclusion
krita/data/CMakeLists.txt,c2a392f5d41283355165896cf11453e2daeac4bcb8f96ed32be94571e229128f,825,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/README,b8b700267cd13a0dc8ce164f10d5992ce43057d518b3b33a89bbe7f5e90f02da,1069,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/aboutdata/LICENSE,8ceb4b9ee5adedde47b31e975c1d90c73ad27b6b165a1dcd80c7c545eb65b903,35147,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/aboutdata/aboutdata.qrc,f62fbb40cbcefe8d28b82c1f47af7b51ba9a8f38cca30866096c2b4fd5f661e2,283,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/aboutdata/credits.txt,6d85d0800aa14dad66f6b0d5b31a530a5220111abffd19447757d6c53d007de1,729,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/aboutdata/developers.txt,781cf1ad744fef5208d6ab15fca2b3d6dc449c249857f31034db0c08e1d6c660,3229,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/aboutdata/libraries.txt,8729ac5c0da8fa3bfaaa79f15cfe25dc21218b9d7d5d21583a18de85c1222eef,1651,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/actions/CMakeLists.txt,f405ac78f94db8e877fa30d83cd8ed623304a94a14b61eaf16333c82743250e9,137,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/actions/InteractionTool.action,353622d87e741782c418d1801ccb26e686534fb1c4d88da74546a610bd8c1e6d,14544,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/actions/MoveTool.action,6e0d2af0fc40d38e7cc4e0f6cbcf912735764535ed477b9019fe29f3783a6ff5,3062,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
